Year,Day,Hour,Minute,Bx GSE-GSM(nT)
2021,1,17,15,2.05
2021,1,17,20,2.11
2021,1,17,25,2.12
2021,1,17,30,2.13
2021,1,17,35,1.48
2021,1,17,40,1.93
2021,1,17,45,2.18
2021,1,17,50,1.82
2021,1,17,55,1.51
2021,1,18,0,1.47
2021,1,18,5,1.52
2021,1,18,10,1.85
2021,1,18,15,1.76
2021,1,18,20,2.15
2021,1,18,25,2.12
2021,1,18,30,2.25
2021,1,18,35,2.37
2021,1,18,40,2.29
2021,1,18,45,2.42
2021,1,18,50,2.06
2021,1,18,55,2.32
2021,1,19,0,2.65
2021,1,19,5,2.51
2021,1,19,10,2.46
2021,1,19,15,2.37
2021,1,19,20,2.34
2021,1,19,25,2.24
2021,1,19,30,1.99
2021,1,19,35,1.71
2021,1,19,40,1.93
2021,1,19,45,2.04
2021,1,19,50,1.90
2021,1,19,55,2.27
2021,1,20,0,2.08
2021,1,20,5,2.28
2021,1,20,10,1.79
2021,1,20,15,2.07
2021,1,20,20,2.37
2021,1,20,25,2.61
2021,1,20,30,3.04
2021,1,20,35,3.08
2021,1,20,40,3.13
2021,1,20,45,3.25
2021,1,20,50,3.40
2021,1,20,55,3.35
2021,1,21,0,3.32
2021,1,21,5,3.41
2021,1,21,10,3.42
2021,1,21,15,3.47
2021,1,21,20,3.47
2021,1,21,25,3.48
2021,1,21,30,3.30
2021,1,21,35,3.25
2021,1,21,40,3.19
2021,1,21,45,3.20
2021,1,21,50,3.07
2021,1,21,55,2.97
2021,1,22,0,2.96
2021,1,22,5,2.84
2021,1,22,10,2.88
2021,1,22,15,2.91
2021,1,22,20,2.90
2021,1,22,25,2.70
2021,1,22,30,2.03
2021,1,22,35,2.22
2021,1,22,40,1.65
2021,1,22,45,1.16
2021,1,22,50,1.55
2021,1,22,55,2.38
2021,1,23,0,2.77
2021,1,23,5,2.97
2021,1,23,10,2.94
2021,1,23,15,2.67
2021,1,23,20,2.28
2021,1,23,25,2.80
2021,1,23,30,2.74
2021,1,23,35,2.39
2021,1,23,40,2.88
2021,1,23,45,2.45
2021,1,23,50,1.69
2021,1,23,55,1.48
2021,2,0,0,1.73
2021,2,0,5,1.93
2021,2,0,10,1.83
2021,2,0,15,1.93
2021,2,0,20,1.86
2021,2,0,25,1.85
2021,2,0,30,1.82
2021,2,0,35,1.62
2021,2,0,40,1.12
2021,2,0,45,0.93
2021,2,0,50,1.21
2021,2,0,55,1.57
2021,2,1,0,1.36
2021,2,1,5,1.00
2021,2,1,10,0.95
2021,2,1,15,1.15
2021,2,1,20,0.83
2021,2,1,25,0.89
2021,2,1,30,0.89
2021,2,1,35,0.62
2021,2,1,40,0.99
2021,2,1,45,9999.99
2021,2,1,50,2.08
2021,2,1,55,2.29
2021,2,2,0,2.46
2021,2,2,5,2.57
2021,2,2,10,2.23
2021,2,2,15,2.20
2021,2,2,20,2.17
2021,2,2,25,2.05
2021,2,2,30,2.21
2021,2,2,35,1.95
2021,2,2,40,2.35
2021,2,2,45,2.18
2021,2,2,50,1.54
2021,2,2,55,1.63
2021,2,3,0,2.47
2021,2,3,5,2.17
2021,2,3,10,1.83
2021,2,3,15,1.38
2021,2,3,20,1.83
2021,2,3,25,2.63
2021,2,3,30,2.91
2021,2,3,35,2.90
2021,2,3,40,2.95
2021,2,3,45,3.04
2021,2,3,50,2.96
2021,2,3,55,2.99
2021,2,4,0,3.11
2021,2,4,5,3.09
2021,2,4,10,2.96
2021,2,4,15,2.90
2021,2,4,20,2.73
2021,2,4,25,2.87
2021,2,4,30,2.96
2021,2,4,35,2.73
2021,2,4,40,2.82
2021,2,4,45,2.69
2021,2,4,50,2.23
2021,2,4,55,2.23
2021,2,5,0,1.95
2021,2,5,5,1.88
2021,2,5,10,1.43
2021,2,5,15,1.53
2021,2,5,20,1.61
2021,2,5,25,1.51
2021,2,5,30,1.67
2021,2,5,35,1.53
2021,2,5,40,1.08
2021,2,5,45,0.79
2021,2,5,50,0.26
2021,2,5,55,0.39
2021,2,6,0,1.33
2021,2,6,5,1.65
2021,2,6,10,1.25
2021,2,6,15,0.79
2021,2,6,20,0.86
2021,2,6,25,0.63
2021,2,6,30,0.93
2021,2,6,35,0.64
2021,2,6,40,0.56
2021,2,6,45,0.69
2021,2,6,50,0.43
2021,2,6,55,0.39
2021,2,7,0,0.81
2021,2,7,5,1.36
2021,2,7,10,1.52
2021,2,7,15,1.40
2021,2,7,20,1.56
2021,2,7,25,1.43
2021,2,7,30,1.33
2021,2,7,35,1.01
2021,2,7,40,1.60
2021,2,7,45,1.70
2021,2,7,50,2.21
2021,2,7,55,2.30
2021,2,8,0,2.42
2021,2,8,5,1.90
2021,2,8,10,2.00
2021,2,8,15,1.93
2021,2,8,20,2.13
2021,2,8,25,2.11
2021,2,8,30,1.97
2021,2,8,35,2.14
2021,2,8,40,1.96
2021,2,8,45,2.27
2021,2,8,50,2.13
2021,2,8,55,2.09
2021,2,9,0,1.79
2021,2,9,5,2.18
2021,2,9,10,1.75
2021,2,9,15,1.82
2021,2,9,20,2.06
2021,2,9,25,2.08
2021,2,9,30,1.86
2021,2,9,35,1.99
2021,2,9,40,3.15
2021,2,9,45,2.84
2021,2,9,50,2.87
2021,2,9,55,2.54
2021,2,10,0,2.32
2021,2,10,5,2.40
2021,2,10,10,2.60
2021,2,10,15,2.77
2021,2,10,20,2.89
2021,2,10,25,2.94
2021,2,10,30,3.01
2021,2,10,35,2.95
2021,2,10,40,2.94
2021,2,10,45,3.04
2021,2,10,50,3.21
2021,2,10,55,3.26
2021,2,11,0,3.37
2021,2,11,5,3.34
2021,2,11,10,3.18
2021,2,11,15,3.26
2021,2,11,20,3.24
2021,2,11,25,3.33
2021,2,11,30,3.29
2021,2,11,35,3.28
2021,2,11,40,3.21
2021,2,11,45,3.11
2021,2,11,50,3.08
2021,2,11,55,3.06
2021,2,12,0,3.04
2021,2,12,5,2.96
2021,2,12,10,2.95
2021,2,12,15,2.76
2021,2,12,20,3.10
2021,2,12,25,3.05
2021,2,12,30,3.15
2021,2,12,35,3.19
2021,2,12,40,3.24
2021,2,12,45,2.93
2021,2,12,50,2.69
2021,2,12,55,2.54
2021,2,13,0,3.04
2021,2,13,5,3.18
2021,2,13,10,3.30
2021,2,13,15,3.24
2021,2,13,20,3.21
2021,2,13,25,3.19
2021,2,13,30,3.02
2021,2,13,35,3.09
2021,2,13,40,2.96
2021,2,13,45,3.21
2021,2,13,50,3.37
2021,2,13,55,3.31
2021,2,14,0,2.89
2021,2,14,5,2.82
2021,2,14,10,2.96
2021,2,14,15,3.09
2021,2,14,20,2.94
2021,2,14,25,2.94
2021,2,14,30,2.94
2021,2,14,35,2.65
2021,2,14,40,2.69
2021,2,14,45,2.34
2021,2,14,50,2.44
2021,2,14,55,2.50
2021,2,15,0,2.42
2021,2,15,5,2.48
2021,2,15,10,2.90
2021,2,15,15,2.66
2021,2,15,20,3.18
2021,2,15,25,2.91
2021,2,15,30,3.08
2021,2,15,35,3.00
2021,2,15,40,2.71
2021,2,15,45,3.18
2021,2,15,50,3.19
2021,2,15,55,3.11
2021,2,16,0,3.12
2021,2,16,5,2.63
2021,2,16,10,2.69
2021,2,16,15,3.04
2021,2,16,20,2.93
2021,2,16,25,2.98
2021,2,16,30,2.92
2021,2,16,35,3.06
2021,2,16,40,2.72
2021,2,16,45,2.98
2021,2,16,50,2.71
2021,2,16,55,2.38
2021,2,17,0,2.35
2021,2,17,5,2.28
2021,2,17,10,2.47
2021,2,17,15,2.31
2021,2,17,20,2.54
2021,2,17,25,2.57
2021,2,17,30,2.56
2021,2,17,35,2.73
2021,2,17,40,2.45
2021,2,17,45,2.28
2021,2,17,50,2.61
2021,2,17,55,1.76
2021,2,18,0,0.88
2021,2,18,5,0.86
2021,2,18,10,0.71
2021,2,18,15,1.27
2021,2,18,20,0.46
2021,2,18,25,0.81
2021,2,18,30,0.83
2021,2,18,35,1.10
2021,2,18,40,0.29
2021,2,18,45,0.74
